Neighbourhood,Neighbourhood Id,TMCI,LDIndex,PopMales,LangChin,LangItal,LangKor,LangPort,LangRuss,LangSpan,LangTagalog,LangUrdu,Businesses,ChildCareSpaces,SocialAssistance,GreenSpaces,PollutantsAir,HomePrices,PercentMidCentHRHousehold,SocialHousingUnits,RoadVolume
Parkwoods-Donalda,45,423,0.720621189,16380,2255,290,535,140,490,1095,965,610,209,441,3664,0.852834331,1964,553698,40.7,786,4192.777778
Pleasant View,46,127,0.852900002,7775,5040,675,165,115,125,190,250,170,124,90,791,0.155828919,0,463859,22.6,0,4517
Don Valley Village,47,449,0.86426814,12670,6655,95,615,65,585,620,905,320,373,229,2137,0.2393423,0,478489,44.6,156,6050.3
Hillcrest Village,48,184,0.844524361,8240,7580,50,440,35,200,210,125,135,424,180,694,0.386535486,246384,484743,22.9,1028,3566.222222
Bayview Woods-Steeles,49,96,0.816541785,6260,3695,175,745,55,255,155,80,60,93,180,666,0.910849666,0,784397,28.6,170,10812
Newtonbrook East,50,275,0.855223854,7805,3950,405,1770,70,335,150,230,50,400,30,685,0.180901122,6461,626626,7.8,300,4012.333333
Willowdale East,51,485,0.856126209,21365,12225,360,4480,220,1290,755,380,260,849,209,1189,0.158443044,542,540911,8.9,208,5919.692308
Bayview Village,52,132,0.80702336,8245,3800,110,1000,105,265,295,290,85,460,60,626,1.121266472,0,533089,11.9,122,3854.625
Henry Farm,53,134,0.857459432,5405,1655,35,200,35,210,220,520,380,717,105,1502,0.212016651,931,372110,53.5,0,5659
O'Connor-Parkview,54,409,0.585864484,8705,435,255,60,100,110,295,565,375,346,75,2984,1.071735422,18416,538203,22.4,693,2532.076923
Thorncliffe Park,55,253,0.83828852,9275,215,30,75,45,105,385,780,4855,449,21,3818,0.596240135,139415,313618,76.1,551,6611.5
Leaside-Bennington,56,178,0.299546269,8170,340,150,85,70,80,160,100,15,313,274,239,0.797010748,282,1071823,4.4,89,8701.583333
Broadview North,57,186,0.695815386,5440,415,95,50,60,120,250,315,50,129,57,1306,0.399753886,0,518555,50.9,238,3892
