Neighbourhood,Neighbourhood Id,TMCI,LDIndex,PopMales,Businesses,ChildCareSpaces,SocialAssistance,GreenSpaces,PollutantsAir,HomePrices,PercentMidCentHRHousehold,SocialHousingUnits,RoadVolume
Humber Summit,21,289,0.815468009,6180,1373,53,1659,0.686271868,521916,354381,13.8,124,4400.090909
Humbermede,22,345,0.79021258,7700,374,55,2590,0.918793036,699603,314721,22.1,218,4377.333333
Pelmo Park-Humberlea,23,222,0.701375163,4200,152,0,798,0.636607684,2735,412618,6.5,176,5889.857143
Black Creek,24,572,0.747526043,10260,306,175,6408,0.410027147,6055,235143,54.7,1432,7326.3
Glenfield-Jane Heights,25,734,0.77360505,14755,587,173,7263,0.808033611,860,304262,29.8,1587,3632.714286
Downsview-Roding-CFB,26,981,0.752538706,16700,985,238,5618,0.852075706,256337,400486,20.3,527,2825.888889
York University Heights,27,776,0.801404621,13580,2643,156,4720,0.887333748,203624,359372,39.4,511,5546.25
Rustic,28,233,0.712584247,4475,48,26,1924,0.19744749,0,493442,33.7,1435,7692
Maple Leaf,29,117,0.776084272,4935,47,90,919,0.167833165,1011,540741,20.4,175,3384.666667
Brookhaven-Amesbury,30,371,0.732061329,8315,466,54,3420,0.405956959,4409,352428,45.7,589,4326.375
Yorkdale-Glen Park,31,551,0.772607586,6750,1468,82,1502,0.236609421,82979,421045,21.6,798,4193.75
Englemount-Lawrence,32,376,0.647173537,9675,175,105,2733,0.20662549,0,577889,18,1688,3056.1
Clanton Park,33,291,0.680043956,6750,357,130,734,0.097684055,332,605585,7,549,3513.25
Bathurst Manor,34,170,0.768958389,7380,244,105,1018,1.311810051,54508,568877,20.3,385,5594.4
Westminster-Branson,35,323,0.815904177,11700,83,45,2906,0.958620906,168,372380,63.2,530,4357.75
Newtonbrook West,36,392,0.863726623,10890,483,98,2124,0.16749045,20,557468,30.3,261,5774.6
Willowdale West,37,168,0.802465231,7085,363,248,515,0.145828928,0,541247,16,527,4808.285714
Lansing-Westgate,38,186,0.673235447,6950,488,75,468,0.983552249,86,646460,14.7,0,6920.090909
Bedford Park-Nortown,39,375,0.438565178,10720,676,60,484,0.091683395,314,1191040,12.9,236,3124.076923
St.Andrew-Windfields,40,235,0.692811985,8610,591,124,606,0.541326375,1599,1363202,14.8,0,3595.5
Bridle Path-Sunnybrook-York Mills,41,104,0.454934522,4180,58,0,37,1.732820954,7653,1849084,0,0,7224.5
Banbury-Don Mills,42,279,0.701282364,12485,834,255,1030,1.279334149,36229,613647,21.8,304,4750.642857
Victoria Village,43,221,0.751125721,7960,431,134,2593,0.682855326,38841,365107,32.2,891,5074.666667
Flemingdon Park,44,354,0.877982435,10615,185,203,4348,0.763803897,0,204104,63.7,717,5799.375
Parkwoods-Donalda,45,423,0.720621189,16380,209,441,3664,0.852834331,1964,553698,40.7,786,4192.777778
Pleasant View,46,127,0.852900002,7775,124,90,791,0.155828919,0,463859,22.6,0,4517
Don Valley Village,47,449,0.86426814,12670,373,229,2137,0.2393423,0,478489,44.6,156,6050.3
Hillcrest Village,48,184,0.844524361,8240,424,180,694,0.386535486,246384,484743,22.9,1028,3566.222222
Bayview Woods-Steeles,49,96,0.816541785,6260,93,180,666,0.910849666,0,784397,28.6,170,10812
Newtonbrook East,50,275,0.855223854,7805,400,30,685,0.180901122,6461,626626,7.8,300,4012.333333
Willowdale East,51,485,0.856126209,21365,849,209,1189,0.158443044,542,540911,8.9,208,5919.692308
Bayview Village,52,132,0.80702336,8245,460,60,626,1.121266472,0,533089,11.9,122,3854.625
Henry Farm,53,134,0.857459432,5405,717,105,1502,0.212016651,931,372110,53.5,0,5659
O'Connor-Parkview,54,409,0.585864484,8705,346,75,2984,1.071735422,18416,538203,22.4,693,2532.076923
Thorncliffe Park,55,253,0.83828852,9275,449,21,3818,0.596240135,139415,313618,76.1,551,6611.5
Leaside-Bennington,56,178,0.299546269,8170,313,274,239,0.797010748,282,1071823,4.4,89,8701.583333
Broadview North,57,186,0.695815386,5440,129,57,1306,0.399753886,0,518555,50.9,238,3892
Old East York,58,134,0.559600088,4435,134,88,569,0.293560692,0,581398,10.1,78,0
Danforth-East York,59,156,0.592479488,7985,167,214,1049,0.070298427,143,518568,7.6,287,3039.75
Woodbine-Lumsden,60,101,0.492190963,3745,56,95,582,0.098423722,0,440700,15.2,201,2022.25
Taylor-Massey,61,343,0.772955853,7665,157,60,2635,0.198037905,22,254151,70.5,353,3575.5
East End-Danforth,62,468,0.432606741,9985,516,330,1901,0.126726419,0,535867,16.5,1000,0
The Beaches,63,292,0.245249178,10040,531,167,672,0.614909147,58703,751945,1.6,193,3434.25
Woodbine Corridor,64,239,0.401583171,5640,146,214,906,0.104449371,1,521549,3.8,841,5104
Greenwood-Coxwell,65,392,0.56769881,6885,315,94,1762,0.087044064,1358,490920,6.1,919,2621.5
Danforth,66,262,0.569736679,4605,414,152,626,0.001837121,0,585093,9.2,715,0
Playter Estates-Danforth,67,146,0.442350904,3760,301,162,288,0.059229148,508,842668,20.3,192,2725.333333
North Riverdale,68,402,0.449889201,5965,327,233,503,0.32216634,0,818592,11.5,163,3522.333333
Blake-Jones,69,221,0.576802592,3815,133,30,1021,0.017038934,850,571246,9.4,658,0
South Riverdale,70,660,0.603981615,12885,1197,224,2695,2.776069153,347833,537087,2,1313,7386.2
Cabbagetown-South St.James Town,71,253,0.490475707,6670,290,0,986,0.246257383,241,537025,37.4,1434,1741
Regent Park,72,259,0.792616847,5370,143,30,2491,0.014814295,0,484444,30.9,2591,0
Moss Park,73,921,0.573821946,9460,841,110,3510,0.098698665,3692,457524,26.3,3133,7509.333333
North St.James Town,74,326,0.806518762,9260,243,55,2681,0.025782697,0,489366,72.4,1715,2377.666667
Church-Yonge Corridor,75,1006,0.595594896,15685,2443,45,3090,0.061520785,1092,410703,43.1,3653,4183.727273
Bay Street Corridor,76,1017,0.752553801,9315,4324,30,678,0.144315022,135026,457787,32,521,4701.1
Waterfront Communities-The Island,77,1393,0.58757678,21735,2899,130,2864,2.567218437,92338,416759,12.3,3990,5771.68
Kensington-Chinatown,78,869,0.753034223,9125,1883,247,2523,0.066166444,1156,477989,32.1,2597,4152.777778
University,79,296,0.615891901,3810,483,15,259,0.005829924,27906,773920,14.9,359,0
Palmerston-Little Italy,80,261,0.572853477,6830,521,159,665,0.03884142,0,781568,2.8,262,2291.666667
Trinity-Bellwoods,81,361,0.705007689,8310,715,332,1415,0.17939058,558,723909,0,42,4139.6
Niagara,82,417,0.499369006,10320,591,65,1246,0.361737869,4819,398281,10.3,2052,5347.625
Dufferin Grove,83,348,0.707595257,5685,375,80,1303,0.078001154,6067,502736,15.4,41,3287.2
Little Portugal,84,296,0.658093905,5910,344,55,983,0.016534602,4259,514960,7.1,386,6815.5
South Parkdale,85,634,0.703912878,10810,564,70,4473,0.45833344,43033,500054,48.4,1545,6156.444444
Roncesvalles,86,386,0.593308877,7430,540,150,2268,0.039249551,156,581425,17.1,501,4172
High Park-Swansea,87,232,0.538544589,10030,448,229,1680,1.832356973,0,622206,12.4,473,4831.9
High Park North,88,309,0.646882074,10100,254,241,1054,0.058883025,0,609689,47.7,661,2299.333333
Runnymede-Bloor West Village,89,165,0.466757723,4565,334,220,251,0.012453777,1363,666204,0,6,2667.5
Junction Area,90,304,0.609884639,6820,631,30,1155,0.09520802,109791,532997,0.3,59,5993.6
Weston-Pellam Park,91,300,0.739573478,6015,178,84,1754,0.036219298,123,382119,8.8,695,2896.8
Corso Italia-Davenport,92,264,0.73469712,6710,420,105,1294,0.126546218,0,502819,0,93,3832.833333
Dovercourt-Wallace Emerson-Juncti,93,743,0.719049512,17225,890,179,3563,0.236699059,10190,512789,4,1375,3898.416667
Wychwood,94,220,0.601919111,6460,379,84,911,0.064319715,4502,656868,14.2,1154,3112.5
Annex,95,604,0.488581691,13745,2328,201,1150,0.11249685,188,993491,32.2,779,5810.5
Casa Loma,96,91,0.402803118,4885,258,142,189,0.173001423,575,1083381,35.6,101,3815.5
Yonge-St.Clair,97,111,0.395199103,5235,468,20,283,0.02470925,0,995616,39.2,0,7116
Rosedale-Moore Park,98,237,0.369962628,9410,683,162,499,0.793670753,0,1265389,31.6,573,3646.62069
Mount Pleasant East,99,135,0.405103095,7415,463,82,288,0.087790047,446,815247,21.1,333,5380.714286
Yonge-Eglinton,100,229,0.395542599,5045,690,45,189,0.127074744,0,975449,24.5,149,5391
Forest Hill South,101,92,0.360459075,4980,175,30,134,0.120135194,691,1585984,28.8,233,5855
Forest Hill North,102,155,0.598462442,5585,144,110,633,0.108893972,73,957688,55.9,325,5872.555556
Lawrence Park South,103,191,0.302540626,7170,167,140,240,0.193230593,1,1215390,5.1,113,4398.111111
Mount Pleasant West,104,355,0.596975983,12895,1129,255,1343,0.047800447,248,520032,47.9,1443,5827.571429
Lawrence Park North,105,141,0.332256057,6915,381,212,166,0.040585045,202,980831,0,110,4704.142857
Humewood-Cedarvale,106,139,0.519463521,6440,139,108,698,0.223360898,0,800442,21.4,445,3941
Oakwood Village,107,307,0.710655156,10005,255,168,2412,0.049076804,0,482040,13.7,966,4503.666667
